StudentID,Student,Class,Section,Subject,Marks,Attendance,Month
100001,Sneha Naidu,MECH,C,Math,53,90,Jan
100001,Sneha Naidu,MECH,C,Physics,58,99,Jan
100001,Sneha Naidu,MECH,C,Chemistry,44,91,Jan
100001,Sneha Naidu,MECH,C,Programming,61,97,Jan
100001,Sneha Naidu,MECH,C,English,47,87,Jan
100001,Sneha Naidu,MECH,C,Math,40,99,Feb
100001,Sneha Naidu,MECH,C,Physics,34,87,Feb
100001,Sneha Naidu,MECH,C,Chemistry,38,86,Feb
100001,Sneha Naidu,MECH,C,Programming,61,98,Feb
100001,Sneha Naidu,MECH,C,English,50,92,Feb
100001,Sneha Naidu,MECH,C,Math,58,93,Mar
100001,Sneha Naidu,MECH,C,Physics,48,93,Mar
100001,Sneha Naidu,MECH,C,Chemistry,40,94,Mar
100001,Sneha Naidu,MECH,C,Programming,50,88,Mar
100001,Sneha Naidu,MECH,C,English,52,87,Mar
100002,Arjun Kapoor,CIVIL,C,Math,42,97,Jan
100002,Arjun Kapoor,CIVIL,C,Physics,46,89,Jan
100002,Arjun Kapoor,CIVIL,C,Chemistry,84,58,Jan
100002,Arjun Kapoor,CIVIL,C,Programming,84,69,Jan
100002,Arjun Kapoor,CIVIL,C,English,90,67,Jan
100002,Arjun Kapoor,CIVIL,C,Math,40,94,Feb
100002,Arjun Kapoor,CIVIL,C,Physics,58,96,Feb
100002,Arjun Kapoor,CIVIL,C,Chemistry,95,70,Feb
100002,Arjun Kapoor,CIVIL,C,Programming,86,56,Feb
100002,Arjun Kapoor,CIVIL,C,English,80,59,Feb
100002,Arjun Kapoor,CIVIL,C,Math,89,63,Mar
100002,Arjun Kapoor,CIVIL,C,Physics,89,66,Mar
100002,Arjun Kapoor,CIVIL,C,Chemistry,48,93,Mar
100002,Arjun Kapoor,CIVIL,C,Programming,49,94,Mar
100002,Arjun Kapoor,CIVIL,C,English,90,72,Mar
100003,Neha Mishra,CIVIL,A,Math,58,84,Jan
100003,Neha Mishra,CIVIL,A,Physics,70,85,Jan
100003,Neha Mishra,CIVIL,A,Chemistry,67,88,Jan
100003,Neha Mishra,CIVIL,A,Programming,67,87,Jan
100003,Neha Mishra,CIVIL,A,English,61,93,Jan
100003,Neha Mishra,CIVIL,A,Math,59,87,Feb
100003,Neha Mishra,CIVIL,A,Physics,79,91,Feb
100003,Neha Mishra,CIVIL,A,Chemistry,70,86,Feb
100003,Neha Mishra,CIVIL,A,Programming,64,96,Feb
100003,Neha Mishra,CIVIL,A,English,70,86,Feb
100003,Neha Mishra,CIVIL,A,Math,69,90,Mar
100003,Neha Mishra,CIVIL,A,Physics,68,90,Mar
100003,Neha Mishra,CIVIL,A,Chemistry,63,90,Mar
100003,Neha Mishra,CIVIL,A,Programming,85,93,Mar
100003,Neha Mishra,CIVIL,A,English,75,97,Mar
100004,Manya Pandey,CSE,B,Math,59,93,Jan
